Medicine ID,Medicine Name,Category,Manufacturer,Batch Number,Expiry Date,Stock Quantity,Unit Price,Supplier Name,Status
M0001,Aspirin,Capsule,Glenmark,B46284,09-09-2029,339,2361.91,MedPlus Supplier,Available
M0002,Diclofenac,Injection,Lupin,B70063,19-01-2030,179,2327.48,Wellness Pharma,Available
M0003,Paracetamol,Cream,Abbott,B31269,27-03-2027,469,1858.4,Apollo Distributor,Available
M0004,Amoxicillin,Injection,Mankind,B53428,13-02-2028,363,931.16,Wellness Pharma,Available
M0005,Ibuprofen,Injection,Abbott,B87195,23-05-2028,477,1569.51,Apollo Distributor,Available
M0006,Metformin,Capsule,Dr. Reddy's,B49761,30-09-2028,34,442.51,ABC Medicals,Available
M0007,ORS,Tablet,Mankind,B39214,31-12-2029,329,299.68,HealthCare Pharma,Available
M0008,ORS,Capsule,Dr. Reddy's,B45622,05-04-2027,155,23.97,Apollo Distributor,Available
M0009,Cetirizine,Syrup,Dr. Reddy's,B32422,31-12-2029,232,1798.45,MedPlus Supplier,Available
M0010,Monocef,Syrup,Mankind,B60897,30-06-2027,467,449.65,HealthCare Pharma,Available
M0011,Ciprofloxacin,Cream,Cipla,B33406,12-07-2030,18,1261.27,Apollo Distributor,Low Stock
M0012,Paracetamol,Injection,Lupin,B47582,15-01-2029,191,345.11,MedPlus Supplier,Available
M0013,Ibuprofen,Syrup,Lupin,B25111,28-12-2029,415,1968.98,Apollo Distributor,Available
M0014,ORS,Cream,Glenmark,B75932,07-02-2029,438,2040.31,HealthCare Pharma,Available
M0015,Monocef,Tablet,Pfizer,B36223,09-03-2027,117,992.86,Wellness Pharma,Available
M0016,Vitamin D,Cream,Mankind,B37716,23-09-2028,328,864.22,Apollo Distributor,Available
M0017,Ibuprofen,Syrup,Pfizer,B76255,29-03-2027,489,438.48,Apollo Distributor,Available
M0018,Atorvastatin,Cream,Alkem,B40192,29-10-2029,24,1329.22,Apollo Distributor,Available
M0019,Aspirin,Capsule,Alkem,B10851,16-12-2029,241,841.92,ABC Medicals,Available
M0020,Vitamin D,Injection,Cipla,B92409,19-07-2030,217,2054.4,MedPlus Supplier,Available
M0021,Paracetamol,Cream,Pfizer,B68044,28-01-2028,470,1246.37,Apollo Distributor,Available
M0022,Azithromycin,Syrup,Lupin,B10028,07-08-2029,385,1512.51,HealthCare Pharma,Available
M0023,Pantoprazole,Tablet,Cipla,B16129,22-03-2029,426,1987.57,Wellness Pharma,Available
M0024,Paracetamol,Syrup,Lupin,B92814,24-12-2027,42,1701.16,ABC Medicals,Available
M0025,Aspirin,Injection,Cipla,B24639,09-10-2028,241,872.14,Wellness Pharma,Available
M0026,Azithromycin,Tablet,Torrent,B53385,17-07-2029,258,1890.13,Apollo Distributor,Available
M0027,Crocin,Capsule,Abbott,B29108,24-03-2029,272,1890.57,ABC Medicals,Available
M0028,Omeprazole,Cream,Alkem,B99337,11-09-2028,455,677.89,HealthCare Pharma,Available
M0029,Diclofenac,Tablet,Pfizer,B77574,14-10-2028,332,2358.55,HealthCare Pharma,Available
M0030,Omeprazole,Tablet,Cipla,B43299,02-06-2027,142,1717.25,ABC Medicals,Available
M0031,Crocin,Cream,Dr. Reddy's,B38267,08-09-2028,105,349.8,ABC Medicals,Available
M0032,ORS,Injection,Mankind,B24709,24-11-2027,392,1361.49,Apollo Distributor,Available
M0033,Ciprofloxacin,Injection,Pfizer,B82439,26-08-2028,167,876.04,Apollo Distributor,Available
M0034,Dolo 650,Tablet,Sun Pharma,B67698,21-03-2030,204,2302.77,HealthCare Pharma,Available
M0035,Ibuprofen,Capsule,Cipla,B27220,07-03-2027,296,274.78,Wellness Pharma,Available
M0036,Vitamin C,Injection,Pfizer,B55482,30-03-2029,281,684.16,MedPlus Supplier,Available
M0037,Cetirizine,Capsule,Mankind,B38029,11-11-2028,233,701.06,ABC Medicals,Available
M0038,Ibuprofen,Injection,Lupin,B35828,08-02-2027,90,1241.29,Apollo Distributor,Available
M0039,Omeprazole,Tablet,Dr. Reddy's,B87555,07-01-2029,325,1380.76,HealthCare Pharma,Available
M0040,Cetirizine,Injection,Sun Pharma,B19461,22-10-2029,83,509.26,MedPlus Supplier,Available
M0041,Pantoprazole,Cream,Cipla,B46885,23-06-2029,216,605.98,MedPlus Supplier,Available
M0042,Omeprazole,Cream,Mankind,B81289,05-09-2029,216,1874.69,ABC Medicals,Available
M0043,Aspirin,Injection,Sun Pharma,B28690,27-08-2027,33,2156.09,MedPlus Supplier,Available
M0044,Amoxicillin,Tablet,Sun Pharma,B57904,12-01-2030,488,177.61,ABC Medicals,Available
M0045,Augmentin,Capsule,Lupin,B41148,04-08-2028,214,1640.23,MedPlus Supplier,Available
M0046,Azithromycin,Injection,Pfizer,B63430,21-05-2030,314,1002.83,HealthCare Pharma,Available
M0047,Pantoprazole,Injection,Torrent,B31004,28-02-2030,139,1455.74,Wellness Pharma,Available
M0048,Aspirin,Cream,Lupin,B29059,20-11-2027,80,309.77,HealthCare Pharma,Available
M0049,Augmentin,Capsule,Glenmark,B36606,27-04-2030,434,1120.42,Wellness Pharma,Available
M0050,Vitamin D,Capsule,Glenmark,B15169,06-11-2029,213,1788.57,ABC Medicals,Available
M0051,Azithromycin,Injection,Dr. Reddy's,B54468,17-12-2028,45,1539.91,Apollo Distributor,Available
M0052,Cetirizine,Syrup,Sun Pharma,B51473,17-02-2027,210,700.37,Apollo Distributor,Available
M0053,Aspirin,Syrup,Pfizer,B98407,16-08-2027,413,801.38,Apollo Distributor,Available
M0054,Aspirin,Tablet,Lupin,B39845,21-06-2028,194,1442.84,Wellness Pharma,Available
M0055,Calcium Tablets,Syrup,Torrent,B17107,01-02-2027,189,389.65,MedPlus Supplier,Available
M0056,Ciprofloxacin,Cream,Lupin,B86262,13-01-2028,191,984.41,MedPlus Supplier,Available
M0057,Vitamin D,Syrup,Torrent,B48913,20-03-2029,272,1775.41,Apollo Distributor,Available
M0058,Aspirin,Syrup,Sun Pharma,B90957,19-05-2028,359,2474.85,Wellness Pharma,Available
M0059,Monocef,Injection,Mankind,B66736,02-06-2028,377,590.95,Wellness Pharma,Available
M0060,Calcium Tablets,Tablet,Pfizer,B68842,18-08-2027,293,170.67,ABC Medicals,Available
M0061,Pantoprazole,Injection,Torrent,B63545,17-05-2027,361,1178.63,Wellness Pharma,Available
M0062,Omeprazole,Syrup,Pfizer,B54699,12-01-2027,299,1151.03,ABC Medicals,Available
M0063,Vitamin D,Injection,Mankind,B56409,21-03-2028,151,471.58,HealthCare Pharma,Available
M0064,Dolo 650,Capsule,Glenmark,B91732,26-07-2027,225,1592.87,Wellness Pharma,Available
M0065,ORS,Tablet,Glenmark,B93880,01-10-2029,467,1846.2,ABC Medicals,Available
M0066,Augmentin,Cream,Torrent,B83843,03-05-2030,345,1609.45,Wellness Pharma,Available
M0067,Vitamin D,Tablet,Mankind,B95562,22-11-2028,83,1185.86,Wellness Pharma,Available
M0068,Azithromycin,Capsule,Pfizer,B48124,30-12-2029,441,2297.39,Wellness Pharma,Available
M0069,Dolo 650,Syrup,Alkem,B42985,22-07-2027,387,762.44,HealthCare Pharma,Available
M0070,Monocef,Syrup,Mankind,B39646,29-06-2029,387,2261.42,HealthCare Pharma,Available
M0071,Vitamin C,Cream,Lupin,B53368,16-07-2028,55,1158.5,Apollo Distributor,Available
M0072,Paracetamol,Capsule,Alkem,B80857,28-02-2027,171,348.96,Wellness Pharma,Available
M0073,Calcium Tablets,Tablet,Sun Pharma,B10848,23-01-2027,284,562.82,Wellness Pharma,Available
M0074,Augmentin,Cream,Alkem,B47362,20-07-2028,272,2439.16,MedPlus Supplier,Available
M0075,Ciprofloxacin,Tablet,Abbott,B57091,06-05-2028,289,229.17,MedPlus Supplier,Available
M0076,Cetirizine,Syrup,Pfizer,B22513,11-09-2027,112,489.83,MedPlus Supplier,Available
M0077,Azithromycin,Tablet,Lupin,B18248,19-07-2029,473,2396.9,ABC Medicals,Available
M0078,Vitamin D,Cream,Pfizer,B57085,04-01-2027,259,2010.5,HealthCare Pharma,Available
M0079,Vitamin D,Injection,Dr. Reddy's,B72411,04-05-2029,356,327.41,Apollo Distributor,Available
M0080,Dolo 650,Cream,Pfizer,B71805,11-08-2029,30,481.4,Wellness Pharma,Available
M0081,Diclofenac,Syrup,Alkem,B12316,13-07-2028,398,474.19,Apollo Distributor,Available
M0082,Pantoprazole,Tablet,Glenmark,B41715,16-10-2028,267,1623.34,Apollo Distributor,Available
M0083,Ibuprofen,Tablet,Lupin,B98058,27-03-2028,330,1036.85,Apollo Distributor,Available
M0084,Azithromycin,Cream,Mankind,B23131,04-09-2028,336,1237.79,HealthCare Pharma,Available
M0085,Aspirin,Injection,Sun Pharma,B11737,03-05-2027,157,201.11,MedPlus Supplier,Available
M0086,Cetirizine,Tablet,Abbott,B77874,18-05-2028,313,2340.83,HealthCare Pharma,Available
M0087,Monocef,Syrup,Sun Pharma,B10580,09-05-2028,26,411.7,MedPlus Supplier,Available
M0088,Ciprofloxacin,Tablet,Abbott,B38275,07-09-2028,429,795.81,HealthCare Pharma,Available
M0089,Omeprazole,Tablet,Glenmark,B94221,29-12-2029,497,2427.54,Wellness Pharma,Available
M0090,Amoxicillin,Tablet,Cipla,B32576,16-02-2027,325,1837.55,MedPlus Supplier,Available
M0091,Augmentin,Injection,Mankind,B29774,07-10-2029,270,1284.59,MedPlus Supplier,Available
M0092,Omeprazole,Cream,Alkem,B48220,23-01-2027,157,989.11,ABC Medicals,Available
M0093,Cetirizine,Capsule,Cipla,B70139,20-06-2029,28,791.29,MedPlus Supplier,Available
M0094,Vitamin C,Cream,Cipla,B24112,21-12-2029,287,1400.25,Apollo Distributor,Available
M0095,Monocef,Tablet,Abbott,B60677,10-02-2027,450,1167.16,MedPlus Supplier,Available
M0096,Crocin,Injection,Cipla,B50861,18-02-2030,198,2099.57,MedPlus Supplier,Available
M0097,Augmentin,Capsule,Glenmark,B20603,19-10-2027,330,754.82,ABC Medicals,Available
M0098,Omeprazole,Injection,Pfizer,B76089,11-11-2028,257,415.1,MedPlus Supplier,Available
M0099,Aspirin,Cream,Pfizer,B17229,08-06-2030,21,1030.54,HealthCare Pharma,Available
M0100,Metformin,Injection,Pfizer,B17139,11-07-2027,493,731.92,Apollo Distributor,Available
M0101,Calcium Tablets,Tablet,Cipla,B10799,07-05-2030,11,683.47,Apollo Distributor,Low Stock
M0102,Crocin,Tablet,Abbott,B70668,26-05-2027,371,672.64,Apollo Distributor,Available
M0103,Monocef,Injection,Glenmark,B80942,13-04-2027,324,246.16,MedPlus Supplier,Available
M0104,Aspirin,Tablet,Sun Pharma,B69642,22-06-2029,257,612.4,HealthCare Pharma,Available
M0105,Ciprofloxacin,Injection,Pfizer,B28722,03-03-2027,324,840.84,MedPlus Supplier,Available
M0106,Metformin,Capsule,Pfizer,B99353,03-03-2030,251,1053.91,Wellness Pharma,Available
M0107,Cetirizine,Cream,Sun Pharma,B23853,08-08-2028,486,2270.62,ABC Medicals,Available
M0108,Calcium Tablets,Injection,Dr. Reddy's,B12521,06-10-2027,324,1099.69,Wellness Pharma,Available
M0109,Amoxicillin,Injection,Cipla,B21913,30-04-2028,379,2480.35,MedPlus Supplier,Available
M0110,Crocin,Tablet,Abbott,B51743,27-06-2028,355,2015.14,Apollo Distributor,Available
M0111,Azithromycin,Syrup,Alkem,B73868,12-08-2027,55,1512.16,HealthCare Pharma,Available
M0112,Dolo 650,Syrup,Alkem,B60446,17-05-2027,376,177.66,ABC Medicals,Available
M0113,Azithromycin,Cream,Sun Pharma,B28126,18-11-2029,277,90.26,ABC Medicals,Available
M0114,Metformin,Injection,Mankind,B54500,11-11-2028,142,365.37,ABC Medicals,Available
M0115,Omeprazole,Tablet,Dr. Reddy's,B68417,13-09-2029,376,149.82,MedPlus Supplier,Available
M0116,Vitamin D,Capsule,Sun Pharma,B26081,19-06-2029,491,970.52,Apollo Distributor,Available
M0117,Crocin,Syrup,Sun Pharma,B48171,01-10-2027,9,1883.97,MedPlus Supplier,Low Stock
M0118,Augmentin,Tablet,Mankind,B15219,20-10-2027,101,1094.92,HealthCare Pharma,Available
M0119,Metformin,Tablet,Alkem,B51493,24-01-2030,341,658.98,HealthCare Pharma,Available
M0120,Ciprofloxacin,Capsule,Mankind,B30582,23-03-2030,237,487.56,HealthCare Pharma,Available
M0121,Diclofenac,Capsule,Alkem,B72270,13-08-2030,78,152.52,HealthCare Pharma,Available
M0122,Paracetamol,Tablet,Sun Pharma,B99788,23-07-2028,176,2470.22,ABC Medicals,Available
M0123,Vitamin D,Syrup,Mankind,B87789,28-03-2027,331,327.32,ABC Medicals,Available
M0124,Ciprofloxacin,Syrup,Glenmark,B40011,15-12-2029,378,1600.84,HealthCare Pharma,Available
M0125,Monocef,Cream,Glenmark,B44775,10-06-2030,343,1301.59,ABC Medicals,Available
M0126,Azithromycin,Cream,Pfizer,B12975,04-12-2029,259,1178.25,Apollo Distributor,Available
M0127,Ibuprofen,Injection,Sun Pharma,B83481,14-05-2027,232,1024.72,Apollo Distributor,Available
M0128,Amoxicillin,Cream,Glenmark,B41927,11-07-2028,86,289.99,Apollo Distributor,Available
M0129,Azithromycin,Cream,Pfizer,B13644,01-06-2028,214,1762.09,HealthCare Pharma,Available
M0130,Azithromycin,Capsule,Lupin,B95795,26-01-2027,7,581.32,ABC Medicals,Low Stock
M0131,Crocin,Capsule,Glenmark,B50058,14-01-2029,451,591.55,ABC Medicals,Available
M0132,Ibuprofen,Capsule,Lupin,B10808,05-03-2029,57,1899.53,MedPlus Supplier,Available
M0133,Dolo 650,Tablet,Pfizer,B50619,21-07-2028,97,839.98,Apollo Distributor,Available
M0134,Azithromycin,Syrup,Glenmark,B83918,04-01-2029,134,1334.81,MedPlus Supplier,Available
M0135,Dolo 650,Tablet,Abbott,B23356,17-01-2028,155,545.91,MedPlus Supplier,Available
M0136,Ibuprofen,Capsule,Mankind,B19796,27-06-2029,384,214.3,HealthCare Pharma,Available
M0137,ORS,Syrup,Lupin,B84847,05-07-2027,489,891.49,MedPlus Supplier,Available
M0138,Paracetamol,Cream,Cipla,B99884,17-07-2027,422,1401.96,MedPlus Supplier,Available
M0139,Vitamin C,Tablet,Alkem,B29065,11-02-2027,9,37.33,Wellness Pharma,Low Stock
M0140,Amoxicillin,Injection,Sun Pharma,B73590,27-10-2027,351,2103.25,ABC Medicals,Available
